id;City;Type;Adress;Name;Geo_spot1;Geo_spot2
b51245a2d70b9a3f0bc0a878ce9d7164flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Friends;Friends;60.055174;30.273935
b531fd89056ecc2917d05cdd417b0d94flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Две Эпохи;Две Эпохи;59.941308;30.261277
b6f77f27a5b37a692b573e3c261ff0ddflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Любоград;Любоград;59.846947;30.080617
b774985a45202b123861bd8c5a1267ecflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Юттери;Юттери;59.756306;30.627018
b7a34ba417d9d4e4edfdc657cfcc799aflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Две Столицы;Две Столицы;59.82025;30.339494
b82f24d54c4bbe772f5403cd6bef8318flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Идеалист;Идеалист;59.910952;30.320081
b9a32a9a36f7ff19f14056998d444371flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Skandi Klubb;Skandi Klubb;59.975009;30.319569
ba080e931b54f1f25a9078c1f13b0840flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Alter;Alter;59.934443;30.416938
ba72f01aebce1d7afd51dcd426104d56flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Шереметьевский дворец;Шереметьевский дворец;59.846567;30.223512
ba9a257f3780d173f9de4ef530491c56flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК СолнцеPark;СолнцеPark;59.752376;30.370252
bae16680ae622396c9190c599a1a0218flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК 4YOU;4YOU;59.824158;30.338146
bbbcdbbf552bb124eec0b2a97c1f4a7aflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Дом на Лабораторном, 23А;Дом на Лабораторном, 23А;59.982352;30.387652
bc3add850780c91878191a940c92bbccflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Юнтолово;Юнтолово;60.031616;30.141694
bc3e84e3949b2ccdff81c3752302d573flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК TESORO / KingDOM;TESORO / KingDOM;59.96435;30.290985
bc576a3bc2f1ab96c6e4b4330bb1df39flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК NEVA RESIDENCE;NEVA RESIDENCE;59.957809;30.26788
bc99b3f97b222b42fa23958fe57088ccflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ligovsky City (Второй квартал);Ligovsky City (Второй квартал);59.906359;30.344947
bcd098b4786ae4b9a72ed3332d78ad14flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Salut!;Salut!;59.831354;30.324465
bcf9127da31e970ab8d9249786f48e95flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Неоклассика;Неоклассика;59.753219;30.374402
bdd9ce12519ae56c2757b933d31e67e1flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК МореОкеан;МореОкеан;60.004114;30.222866
be14cf36220bac3c93b81c6788b26149flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Новоорловский;Новоорловский;60.057366;30.274743
be39f4f127981213b3af5cd34d0655b1flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Фортеция;Фортеция;59.985642;29.796336
c29c329235501cd0c13e9dc11445990fflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК БелАрт;БелАрт;59.985876;30.360748
c4c7e9ad2c4924506644d720dd660161flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Охта хаус;Охта хаус;59.957021;30.448693
c689f86226f0aa79b8c425cad85ccd65flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Полис на Московской;Полис на Московской;59.840139;30.303013
c76e8cbeb3d2e5a37b3d26b81d46d849flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Добрыня;Добрыня;59.756986;30.472489
c7d6bba40611893273af5aba494b01fdflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Meltzer Hall;Meltzer Hall;59.970155;30.307774
c818b086d9b80543d76236dcb2a0abc7flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Дальневосточный 15;Дальневосточный 15;59.898065;30.458673
c820a8be87cbca2550c0a305d4de266cflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Аквилон SKY;Аквилон SKY;59.865013;30.515986
c835e51c60bf238746c64991a81a3ea4flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Grand House;Grand House;59.925299;30.37407
c995291bb13726dbaf1e579cea7680c3flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК АRT Квартал. Аквилон;АRT Квартал. Аквилон;59.900471;30.31311
cb60ada3c5ac1872c37bc22f762f0873flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Поэт;Поэт;60.042995;30.360308
cd9e4e74bea51f20f72f7f8c2a0c7bf2flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Солнечный город;Солнечный город;59.840948;30.104854
cfd7a9bf1b2a30ccb3e097c7d655f19dflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Царская столица;Царская столица;59.921132;30.370162
d022b2dc12e65248ce6d5bc90517df36flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Днепропетровская 37;Днепропетровская 37;59.9166;30.359481
d2136f707cdfedd89dc1017066d56c1eflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Дом на Блюхера;Дом на Блюхера;59.975112;30.415177
d249d914d698e8db8a67131ef7230506flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Hovard House (Ховард Хаус);Hovard House (Ховард Хаус);59.937441;30.374959
d3413827532ed90f428590c5bb5a8cacflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Морская Звезда;Морская Звезда;60.001865;30.212122
d383cc57bc9fb376cb1f23dff33328feflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Полис Приморский;Полис Приморский;60.033602;30.209723
d489ba48323256685ae07481a9c7768fflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Клубный дом Б57;Клубный дом Б57;59.875411;30.334293
d637e9d5b7d862d5b705223c5456ba2cflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК TERRA;TERRA;59.99026;30.328049
d63aae692a9a95f68febfb132dd5398eflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Морская набережная, 1 очередь;Морская набережная, 1 очередь;59.933568;30.193652
d721547c8f831232e962d9696d07abeeflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Стрижи в Невском;Стрижи в Невском;59.88269;30.431616
d8626d2a87cda10fe74c7e5c7e2abe5aflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК ЭкспоГрад 3;ЭкспоГрад 3;59.749402;30.370333
d9551051007ff88b10f30967cd5150c9flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Dreamline;Dreamline;60.041063;30.23466
d9dfbe996d3a9545aceddeb7bfe87382flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Akzent;Akzent;59.938175;30.404316
da902630c3a8b26356b64d764f0fa0d8flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Коллонтай 2;Коллонтай 2;59.914615;30.443932
dc039a09a22a9e7db635a1b3288a0275flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Veren Next Октябрьская;Veren Next Октябрьская;59.872091;30.474807
dcba4f7383f9103e14e04fdd27cb66d8flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Кантемировская 11;Кантемировская 11;59.982905;30.337904
dedd9d583bb667e3936a48fa11c9de78flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК LEGENDA на Комендантском;LEGENDA на Комендантском;60.03278;30.227375
dfec56ce8bcea7875b9eeb65863585beflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Полис на Комендантском;Полис на Комендантском;60.035005;30.215463
dff34d37c6aef2358d68451d7fd30f32flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ломоносовъ;Ломоносовъ;59.897582;29.765821
e18c05ea0180cfd110a627790cbd098bflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Петергоф парк;Петергоф парк;59.857093;29.943085
e3091434d158cd38e7069e16ea946603flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Славянка;Славянка;59.745331;30.476855
e3f05d9c6593bf2a2dbffa4de62a87e6flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Московские ворота II;Московские ворота II;59.892879;30.31214
e3f092c99549ee2b8f7009cce71bff92flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК ПИТЕР;ПИТЕР;59.853586;30.344497
e3fb4c06864ddcee8d4b245d6a84dd27flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ligovsky City (Первый Квартал);Ligovsky City (Первый Квартал);59.905357;30.342404
e42f49b5ea995e3108d2f116fc446d31flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Панорама Невы;Панорама Невы;59.871658;30.469148
e4bffb587c64633a813a753a93c53558flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Дворянское сословие;Дворянское сословие;59.706948;30.407038
e4ded85f61f01bf50f7e1a2ee9589a84flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Дефанс;Дефанс;59.850834;30.343024
e6e284fdacd617f3aa72d9ca876257b6flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Парнас;Парнас;60.070828;30.321366
e77313368342dd7e3aeeb95513959b2fflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Esper Club;Esper Club;59.973816;30.270818
e7a8ecb26da3fbf6322d09b2409d4ebeflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Pulse на Набережной;Pulse на Набережной;59.904875;30.443564
e7c856dcace669a569d614c817ad0433flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ultra City I;Ultra City I;60.035508;30.227007
e8293479184f8ebab2e3bec6dee2cd59flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Белый остров;Белый остров;59.986007;30.329001
e8a56df7a516fb67e3472ac436775aa4flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Domino;Domino;59.987375;30.311412
e8b87a2115b0310611afd362debc2868flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Family Loft;Family Loft;59.960868;30.288245
eaa7999556b9c7f17dcbe27cfad78bedflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ленсоветовский;Ленсоветовский;59.756152;30.474493
eb82fd4f52198cbb9da4749bb0798ae8flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Мендельсон;Мендельсон;59.961643;30.282675
ec560b84b1210631a35b4f3ee2ab128dflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Приоритет;Приоритет;59.949753;30.350489
edc18d15c4291c4f7f281bc73e69c9d9flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Суворов;Суворов;59.98945;30.375103
ee8d634b6ab3964aafb36f0434623f34flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Promenade;Promenade;59.905949;30.313488
ef8b9eba06a92a1bb1f2e9a22b9425f0flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ойкумена;Ойкумена;60.058408;30.280996
f019978a3d1ab809f0b4fbcf6c4a80a5flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Галактика Премиум;Галактика Премиум;59.895114;30.312122
f0261ff26288657019662567d6535769flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Русский дом;Русский дом;59.940258;30.352124
f11e0329f0f6843ec75a7ad5dd3e97c9flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Невские паруса;Невские паруса;59.827058;30.554461
f25653196478880a3bcd901afe5b646bflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК UP-квартал Московский;UP-квартал Московский;59.809899;30.360716
f57238a1fe6ffc481ba664b21f02d2b3flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Образцовый квартал 4;Образцовый квартал 4;59.75568;30.368168
f6f814f507c75903f1696974f2271a9dflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Богемия;Богемия;59.904974;30.322974
f729125ca05ac453531a9b681b3f7aa8flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Орловский Парк;Орловский Парк;60.056014;30.269228
f89dffaa6bf678f404a10dd7491155a9flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Новое Купчино;Новое Купчино;59.850115;30.40958
f8b9d930110ba434a87545a865a55443flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Цивилизация;Цивилизация;59.899248;30.452699
f9a5b6de5fa06575079a91b792362a54flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Modum;Modum;60.033405;30.204163
fb551805e316d1157ebbde14ab00befcflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Ива Дом;Ива Дом;59.960859;30.417629
fbde9c0216a77a787f42089d466116b9flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Невская Звезда;Невская Звезда;59.862958;30.464108
fc4da076e60241175e049f55b855a250flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Крылья;Крылья;59.821802;30.329783
fd52cffd652c0a0ec8ffa743914efaeeflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК LEGENDA Героев;LEGENDA Героев;59.858525;30.152024
fdbe14f0137b57893b2933c68a931407flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК ЭкспоГрад;ЭкспоГрад;59.754398;30.374582
fe153c05e18856a9d3ca1eb6e49e3dc7flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Svetlana Park;Svetlana Park;60.0106;30.330708
ff8da2eb4d6cf5e572ac7974099357b0flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Образцовый квартал 3;Образцовый квартал 3;59.753573;30.36912
ffc77270a03b144e2f172390cea5b006flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Образцовый квартал 7;Образцовый квартал 7;59.753672;30.365698
0115519db1bbfb60423263ece961ab70flats_moscow_region;г.о. Истра;moscow_region_flats;г.о. Истра, ЖК Павловский квартал;Павловский квартал;55.826099;37.139579
0130140b69e7517204fcf5634149c948flats_moscow_region;г.о. Химки;moscow_region_flats;г.о. Химки, ЖК Солнечная система;Солнечная система;55.917036;37.412945
0190298c1a0a3c443471f1056bc31a8cflats_moscow_region;г.о. Солнечногорск;moscow_region_flats;г.о. Солнечногорск, ЖК Солнечная Аллея;Солнечная Аллея;56.039324;37.238816
