id1;id2;Project;Dist1;Dist2;Adress;Date_finish;Class;Deal3;id3;Section2;Floor1;Room;Area1;Price;Geo_spot1;Geo_spot2
8282c6f966eeb4ab452bb8939be1b71cflats_moscow;2ab47095ee5e8146066a497fc707c40c;Сердце столицы;СЗАО;Хорошёво-Мнёвники;Шелепихинская наб.. д. 34. к. 7 (к. 10);2024;Бизнес;2021 4кв.;6b2c7dcd4104d72e5d1af4d51e7d41e9;1;25;2;65.8;334500;55.762996;37.512676
8282c6f966eeb4ab452bb8939be1b71cflats_moscow;2ab47095ee5e8146066a497fc707c40c;Сердце столицы;СЗАО;Хорошёво-Мнёвники;Шелепихинская наб.. д. 34. к. 7 (к. 10);2024;Бизнес;2021 4кв.;6a8241b5cd605c2b7d41417b1f9e640e;2;16;1;45.9;394500;55.762996;37.512676
a7e9392c9f33a09aafe185a03160adf6flats_moscow;b700e6de2d204ba4a517ee560562747c;Михайловский парк;ЮВАО;Рязанский;2-я Институтская ул.. к. 6;2022;Комфорт;2021 4кв.;a9e1aabdcbf889c627c03130879803fa;1;2;1;41.5;240758;55.723526;37.776287
162f244d937ec578f5e0e62cd65d9491flats_moscow;3c46872de17aa5c34fb9f459af54ff36;Символ;ЮВАО;Лефортово;Золоторожский Вал ул.. вл. 11. уч. Искренность. к. 25;2024;Бизнес;2021 4кв.;71b4e83eebb96604552a1bdbc5b07b8f;2;8;2;58.7;362511.07;55.751376;37.694962
162f244d937ec578f5e0e62cd65d9491flats_moscow;dfba8efa885d9a321b978c504b609e94;Символ;ЮВАО;Лефортово;Золоторожский Вал ул.. вл. 11. уч. Искренность. к. 24;2024;Бизнес;2021 4кв.;381f86f2f3b946de84819caae52d1cd4;1;5;2;58.8;347541;55.751376;37.694962
162f244d937ec578f5e0e62cd65d9491flats_moscow;7d241ba7fc0b0a6387912e1d82d8732b;Символ;ЮВАО;Лефортово;Золоторожский Вал ул.. вл. 11. уч. Искренность. к. 26;2024;Бизнес;2021 4кв.;2a43bb99924fc6f86e3304cc2a4784be;3;20;1;40.8;384500;55.751376;37.694962
3ef29e7bc26e9e8cef3aa3a4639aaa54flats_moscow;acaa2c8e5f2300b35467f243386cfbb7;River Park (Фаза 2);ЮАО;Нагатинский Затон;Речников ул.. вл. 7. к. 4;2024;Бизнес-;2021 4кв.;9dcab574e9afc8a0dc471e3ed78ae40a;10;7;3;69.3;353434.99;55.681712;37.693848
eaa8ea0d825faf370e806d98dc5a6eaeflats_moscow;7367861637a589319d90049690d0ea93;Событие;ЗАО;Раменки;между ул. Лобачевского и платформой «Матвеевское». к. 1 (3 оч.);2024;Бизнес;2021 4кв.;2a5d7b6ea6b7454a8e7212e2ee8e4662;2;28;1;101;342054;55.696245;37.473617
8282c6f966eeb4ab452bb8939be1b71cflats_moscow;2ab47095ee5e8146066a497fc707c40c;Сердце столицы;СЗАО;Хорошёво-Мнёвники;Шелепихинская наб.. д. 34. к. 7 (к. 10);2024;Бизнес;2021 4кв.;bbb1a1d0ce9f3264c2c959cf7b4787f6;2;29;1;28.4;427000;55.762996;37.512676
8282c6f966eeb4ab452bb8939be1b71cflats_moscow;2ab47095ee5e8146066a497fc707c40c;Сердце столицы;СЗАО;Хорошёво-Мнёвники;Шелепихинская наб.. д. 34. к. 7 (к. 10);2024;Бизнес;2021 4кв.;db83a3ea8a8c3fa49898d7acc548a536;2;30;1;28.4;429100;55.762996;37.512676
8282c6f966eeb4ab452bb8939be1b71cflats_moscow;2ab47095ee5e8146066a497fc707c40c;Сердце столицы;СЗАО;Хорошёво-Мнёвники;Шелепихинская наб.. д. 34. к. 7 (к. 10);2024;Бизнес;2021 4кв.;1493cd5a4b7d953dda998caca3d294f8;2;33;1;28.4;435400;55.762996;37.512676
b3510ac172a7b9a2c0c6f6cec0481482flats_moscow;77057145517da1546713b3aaa901fad4;Остров;СЗАО;Хорошёво-Мнёвники;Нижние Мневники ул.. уч. 37Б. к. 1 (2 кв.);2024;Бизнес+;2021 4кв.;0225c4681f0178ee1c21c71f8cb19f2f;1;4;2;63.8;394506;55.750383;37.454582
b3510ac172a7b9a2c0c6f6cec0481482flats_moscow;77057145517da1546713b3aaa901fad4;Остров;СЗАО;Хорошёво-Мнёвники;Нижние Мневники ул.. уч. 37Б. к. 1 (2 кв.);2024;Бизнес+;2021 4кв.;a59a20f3c35bc9ae6073b86aae16bf26;1;4;2;67.7;384927;55.750383;37.454582
